,shot#,time,Ip,Bt,a,R,tria,elon,Wmcc,Ti0,Zeff,n42,fname,Paux
0,41112.0,0.17959999999999998,398.973,0.81,23.1,36.2,0.35,1.8,11600.0,1204.0,2.1695119664375118,5.0,Profiles_export_4/shot41112_t180.txt,925.5032251982648
1,41112.0,0.18259999999999998,398.973,0.81,23.2,36.2,0.36,1.8,12177.0,1232.0,2.135741635753874,5.2,Profiles_export_4/shot41112_t183.txt,925.5032251982648
2,41112.0,0.18569999999999998,398.973,0.81,23.2,36.3,0.36,1.8,12433.0,1218.0,2.223877743626822,4.7,Profiles_export_4/shot41112_t186.txt,925.5032251982648
3,41112.0,0.18869999999999998,398.973,0.81,23.2,36.4,0.36,1.8,12693.0,1259.0,2.2430911350240526,4.6,Profiles_export_4/shot41112_t189.txt,925.5032251982648
4,41112.0,0.19169999999999998,398.973,0.81,23.2,36.4,0.36,1.8,13197.0,1194.0,2.262898351968714,4.5,Profiles_export_4/shot41112_t192.txt,925.5032251982648
5,41112.0,0.1948,398.973,0.81,23.2,36.4,0.36,1.8,13393.0,1444.0,2.223877743626822,4.7,Profiles_export_4/shot41112_t195.txt,925.5032251982648
6,41112.0,0.1978,398.973,0.81,23.2,36.4,0.36,1.8,13403.0,1296.0,2.304425484539792,4.3,Profiles_export_4/shot41112_t198.txt,925.5032251982648
7,41112.0,0.2008,398.973,0.81,23.2,36.4,0.36,1.8,13713.0,1296.0,2.304425484539792,4.3,Profiles_export_4/shot41112_t201.txt,925.5032251982648
8,41112.0,0.2039,398.973,0.81,23.2,36.3,0.36,1.8,13551.0,1207.0,2.3487484633150753,4.1,Profiles_export_4/shot41112_t204.txt,925.5032251982648
9,41112.0,0.2069,398.973,0.81,23.1,36.4,0.35,1.8,13574.0,1194.0,2.372062103068877,4.0,Profiles_export_4/shot41112_t207.txt,925.5032251982648
10,41112.0,0.2099,398.973,0.81,23.1,36.4,0.36,1.8,13282.0,1202.0,2.421233159153311,3.8,Profiles_export_4/shot41112_t210.txt,925.5032251982648
11,41112.0,0.213,398.973,0.81,23.1,36.4,0.36,1.8,13217.0,1313.0,2.3962063175777413,3.9,Profiles_export_4/shot41112_t213.txt,925.5032251982648
12,41112.0,0.216,398.973,0.81,23.0,36.4,0.36,1.8,12977.0,1278.0,2.421233159153311,3.8,Profiles_export_4/shot41112_t216.txt,925.5032251982648
13,41112.0,0.219,398.973,0.81,23.0,36.4,0.36,1.8,13031.0,1359.0,2.474167235231339,3.6,Profiles_export_4/shot41112_t219.txt,925.5032251982648
14,41112.0,0.2221,398.973,0.81,23.0,36.4,0.36,1.8,12933.0,1293.0,2.502204690812758,3.5,Profiles_export_4/shot41112_t222.txt,925.5032251982648
15,41112.0,0.2251,398.973,0.81,22.9,36.4,0.34,1.8,12988.0,1356.0,2.502204690812758,3.5,Profiles_export_4/shot41112_t225.txt,925.5032251982648
16,41112.0,0.2281,398.973,0.81,22.9,36.4,0.34,1.8,12747.0,1298.0,2.531386646768293,3.4,Profiles_export_4/shot41112_t228.txt,925.5032251982648
17,41112.0,0.2312,398.973,0.81,23.0,36.2,0.36,1.8,12888.0,1275.0,2.561795601826296,3.3,Profiles_export_4/shot41112_t231.txt,925.5032251982648
18,41114.0,0.17959999999999998,404.316,0.81,23.5,36.1,0.34,1.8,14437.0,1242.0,1.885587594139599,7.1,Profiles_export_4/shot41114_t180.txt,925.9174783161448
19,41114.0,0.18259999999999998,404.316,0.81,23.6,36.2,0.35,1.8,14668.0,1294.0,1.8647512528477523,7.3,Profiles_export_4/shot41114_t183.txt,925.9174783161448
20,41114.0,0.18569999999999998,404.316,0.81,23.4,36.3,0.37,1.8,14173.0,1146.0,1.9533708792835565,6.5,Profiles_export_4/shot41114_t186.txt,925.9174783161448
21,41114.0,0.18869999999999998,404.316,0.81,23.6,36.2,0.38,1.8,14752.0,1323.0,1.9184323383749537,6.8,Profiles_export_4/shot41114_t189.txt,925.9174783161448
22,41114.0,0.19169999999999998,404.316,0.81,23.4,36.3,0.37,1.8,14185.0,1226.0,1.9414780168507964,6.6,Profiles_export_4/shot41114_t192.txt,925.9174783161448
23,41114.0,0.1948,404.316,0.81,23.5,36.2,0.37,1.8,15192.0,1146.0,2.0169240821733236,6.0,Profiles_export_4/shot41114_t195.txt,925.9174783161448
24,41114.0,0.1978,404.316,0.81,23.5,36.2,0.37,1.8,14746.0,1296.0,1.9414780168507964,6.6,Profiles_export_4/shot41114_t198.txt,925.9174783161448
25,41114.0,0.2008,404.316,0.81,23.4,36.3,0.36,1.8,14506.0,1162.0,1.9906429761696718,6.2,Profiles_export_4/shot41114_t201.txt,925.9174783161448
