,shot#,time,Ip,Bt,a,R,tria,elon,Wmcc,fname
0,42119.0,0.19140000000000001,0.358,0.9,23.6,36.7,0.39,1.8,12836.0,Profiles_export_2/shot42119_t191.txt
1,42119.0,0.1945,0.358,0.9,23.7,36.8,0.38,1.7,13200.0,Profiles_export_2/shot42119_t194.txt
2,42119.0,0.1976,0.358,0.9,23.6,36.7,0.37,1.7,13582.0,Profiles_export_2/shot42119_t198.txt
3,42119.0,0.2007,0.358,0.9,23.6,36.6,0.39,1.7,13451.0,Profiles_export_2/shot42119_t201.txt
4,42119.0,0.2039,0.358,0.9,23.5,36.7,0.38,1.7,13336.0,Profiles_export_2/shot42119_t204.txt
5,42119.0,0.207,0.358,0.9,23.7,36.7,0.39,1.7,13490.0,Profiles_export_2/shot42119_t207.txt
6,42119.0,0.21009999999999998,0.358,0.9,23.6,36.6,0.39,1.7,13309.0,Profiles_export_2/shot42119_t210.txt
7,42119.0,0.21330000000000002,0.358,0.9,23.5,36.7,0.38,1.7,13412.0,Profiles_export_2/shot42119_t213.txt
8,42119.0,0.2164,0.358,0.9,23.4,36.7,0.39,1.7,13095.0,Profiles_export_2/shot42119_t216.txt
9,41585.0,0.213,0.352,0.9,23.4,35.9,0.38,1.7,13614.0,Profiles_export_2/shot41585_t213.txt
10,41585.0,0.216,0.352,0.9,23.2,36.0,0.38,1.7,13564.0,Profiles_export_2/shot41585_t216.txt
11,41585.0,0.219,0.352,0.9,23.2,35.9,0.38,1.7,13299.0,Profiles_export_2/shot41585_t219.txt
12,42777.0,0.21009999999999998,0.355,0.91,22.6,35.8,0.36,1.8,12505.0,Profiles_export_2/shot42777_t210.txt
13,42777.0,0.21330000000000002,0.355,0.91,22.7,35.9,0.36,1.8,12463.0,Profiles_export_2/shot42777_t213.txt
14,42777.0,0.2164,0.355,0.91,22.6,35.7,0.36,1.8,12594.0,Profiles_export_2/shot42777_t216.txt
15,42416.0,0.21009999999999998,0.406,0.91,23.1,36.2,0.37,1.8,17187.0,Profiles_export_2/shot42416_t210.txt
16,42416.0,0.21330000000000002,0.406,0.91,23.1,36.1,0.36,1.8,17226.0,Profiles_export_2/shot42416_t213.txt
17,42416.0,0.2164,0.406,0.91,22.9,36.1,0.35,1.8,17219.0,Profiles_export_2/shot42416_t216.txt
